data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9053976,854,BFO6988,6988,07-Apr-22,2022,1,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Burkina Faso),,7,27,Western Africa,Burkina Faso,Sahel,Oudalan,Gorom-Gorom,Gorom-Gorom,14.44,-0.24,2,Whatsapp; Facebook,New media,"On 7 April 2022, presumed IS Sahel militants killed six people between Gorom-Gorom and Saouga (Gorom-Gorom, Oudalan). The victims were transporting the corpse of a deceased relative when they were attacked.",6,1649700012,BFA
9054045,466,MLI6484,6484,07-Apr-22,2022,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,Western Africa,Mali,Mopti,Bandiagara,Doucoumbo,Songho,14.3711,-3.709,2,Facebook; Koro Kibaru; Le Pays Dogon; Twitter,New media-Subnational,"On 7 April 2022, two Dan Na Ambassagou militiamen were killed by the explosion of an IED likely planted by JNIM militants near the village of Songho (Bandiagara, Mopti).",2,1649700012,MLI
9054058,566,NIG24333,24333,07-Apr-22,2022,1,Violence against civilians,Abduction/forced disappearance,Niger Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Niger,Muya,,Daza,9.5944,6.9928,1,Daily Trust (Nigeria); Nigeria Punch,National,"On 7 April 2022, members of a Niger militia abducted an unspecified number of civilians when they raided Daza community (Muya, Niger).",0,1649700012,NGA
9054074,566,NIG24371,24371,07-Apr-22,2022,1,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Labour Group (Nigeria); Government of Nigeria (2015-),7,37,Western Africa,Nigeria,Anambra,Aguata,,Elwulobia,6.0253,7.0766,1,Daily Champion; Premium Times (Nigeria); Daily Post (Nigeria); Nigeria Punch,National,"On 7 April 2022, an armed group killed 2 - 'many' persons when they invaded the local government headquarters in Elwulobia (Aguata, Anambra). Structures, shops and vehicles within the secretariat were set ablaze. Fatalities coded as 2.",2,1649700012,NGA
9054081,566,NIG24396,24396,07-Apr-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0833,7.5333,1,Sahara Reporters; Nigeria Punch,National-Regional,"On 7 April 2022, family members of the victims of the Kaduna train attack protested at the Radio House in Abuja (Abuja Municipal, FCT) to demand for the intervention of the federal government in the rescue of their relatives. [size=no report]",0,1649700012,NGA
9054082,566,NIG24398,24398,07-Apr-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),Protestant Christian Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Kaduna,Kaduna North,,Kaduna,10.5222,7.4383,1,Nigeria Punch; Daily Trust (Nigeria),National,"On 7 April 2022, pastors of the Interfaith Alliance protested around Lagos Street Roundabout in Kaduna (Kaduna North, Kaduna) against the incessant attacks by militiamen across the state. The protesters demanded that the federal government takes a decisive action against the militiamen. [size=no report]",0,1649700012,NGA
9054094,686,SEN1492,1492,07-Apr-22,2022,1,Protests,Peaceful protest,Protesters (Senegal),SUTSAS: Trade Union of Health Workers and Social Action,6,,,0,60,Western Africa,Senegal,Louga,Louga,Mbediene,Louga,15.6187,-16.2244,1,Agence de Presse Senegalaise,National,"On 7 April 2022, SUTSAS held a sit in demonstration and strike in Louga (Mbediene, Louga, Louga), calling the public authority to respect 2008 accords regarding the remuneration of administrative agents. [size=no report]",0,1649700012,SEN
9054098,562,NIR14406,14406,07-Apr-22,2022,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Niger),Teachers (Niger),7,27,Western Africa,Niger,Tillaberi,Torodi,Makalondi,Banteri,12.8585,1.6967,1,Air Info,National,"On 7 April 2022, presumed JNIM militants abducted a teacher in the village of Banteri (Torodi, Tillaberi).",0,1649700012,NER
9054160,566,NIG24372,24372,07-Apr-22,2022,1,Violence against civilians,Attack,Niger Communal Militia (Nigeria),,4,Civilians (Nigeria),,7,47,Western Africa,Nigeria,Niger,Shiroro,,Rumache,10.0708,6.6097,1,Daily Trust (Nigeria),National,"On 7 April 2022, members of the Niger militia attacked civilians in Rumache - Madalla (Shiroro, Niger). Three persons were killed; several others were wounded and many others were abducted.",3,1649700012,NGA
9054201,566,NIG24397,24397,07-Apr-22,2022,1,Protests,Peaceful protest,Protesters (Nigeria),Labour Group (Nigeria),6,,,0,60,Western Africa,Nigeria,Gombe,Gombe,,Gombe,10.2897,11.1673,1,Guardian (Nigeria),National,"On 7 April 2022, no fewer than 2,000 street cleaners protested against their layoff and blocked (means not specified) the entrance of the state house in Gombe (Gombe, Gombe). The protesters demanded that the government reconsiders its decision to visit their employer's flaws on them. [size=no fewer than 2,000]",0,1649700012,NGA
9054288,566,NIG24379,24379,07-Apr-22,2022,1,Riots,Mob violence,Rioters (Nigeria),,5,Rioters (Nigeria),Women (Nigeria); Labour Group (Nigeria),5,55,Western Africa,Nigeria,Anambra,Onisha South,,Fegge,6.1379,6.7782,1,Nigeria Punch,National,"On 7 April 2022, landowners of the Ukwa family clashed with women working at a market numbering over 500 at Pocket Layout Market Woliwo, Fegge (Onisha South, Anambra). Goods worth millions of naira were destroyed. The landowners denied the destruction of the goods and claimed that they went to the market to invite the traders for negotiation. There were no casualties. [size=over 500]",0,1649700013,NGA
9054324,686,SEN1493,1493,07-Apr-22,2022,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Senegal (2012-),,1,MFDC: Movement of Democratic Forces of Casamance,,2,12,Western Africa,Senegal,Ziguinchor,Bignona,Sindian,Djibidione,13.07,-16.27,1,Sen360,National,"On 7 April 2022, military forces launched an operation shelling the MFDC in Djibidione (Sindian, Bignona, Ziguinchor). Casualties unknown.",0,1649700013,SEN
